Date,Open,High,Low,Close,Adj Close,Volume
2023-07-03,115.16000366210938,116.7300033569336,114.51000213623047,115.81999969482422,115.81999969482422,31860000
2023-07-05,116.0999984741211,117.66000366210938,113.86000061035156,113.94999694824219,113.94999694824219,49501600
2023-07-06,112.06999969482422,113.79000091552734,110.30999755859375,113.4800033569336,113.4800033569336,42342000
2023-07-07,114.16000366210938,115.33000183105469,113.04000091552734,113.16999816894531,113.16999816894531,37135100
2023-07-10,113.0,113.61000061035156,109.87999725341797,113.58000183105469,113.58000183105469,49330200
2023-07-11,111.66000366210938,113.2699966430664,109.5,111.31999969482422,111.31999969482422,59899500
2023-07-12,112.88999938964844,115.4000015258789,112.30999755859375,114.58000183105469,114.58000183105469,57993100
2023-07-13,115.76000213623047,116.16000366210938,113.58000183105469,115.91999816894531,115.91999816894531,49206700
2023-07-14,116.16999816894531,122.12000274658203,115.25,115.94000244140625,115.94000244140625,91847300
2023-07-17,115.94999694824219,118.83999633789062,112.7300033569336,118.31999969482422,118.31999969482422,68593300
2023-07-18,117.55000305175781,118.43000030517578,115.19000244140625,117.93000030517578,117.93000030517578,57980100
2023-07-19,121.30000305175781,121.66999816894531,115.55000305175781,116.43000030517578,116.43000030517578,70363100
2023-07-20,114.95999908447266,115.05000305175781,109.23999786376953,110.25,110.25,76340400
2023-07-21,110.97000122070312,112.30000305175781,109.54000091552734,110.94999694824219,110.94999694824219,76778100
2023-07-24,110.62000274658203,111.30999755859375,108.55000305175781,110.61000061035156,110.61000061035156,45583600
2023-07-25,111.13999938964844,114.05000305175781,111.0,113.0,113.0,44916300
2023-07-26,111.91000366210938,112.36000061035156,109.30000305175781,110.08999633789062,110.08999633789062,51721700
2023-07-27,111.79000091552734,115.08000183105469,110.51000213623047,111.0999984741211,111.0999984741211,70678000
2023-07-28,113.37999725341797,114.86000061035156,112.44000244140625,112.95999908447266,112.95999908447266,55526000
2023-07-31,114.16000366210938,114.68000030517578,112.3499984741211,114.4000015258789,114.4000015258789,54187300
2023-08-01,114.26000213623047,118.19000244140625,113.16000366210938,117.5999984741211,117.5999984741211,95279300
2023-08-02,119.48999786376953,119.5,107.37999725341797,109.3499984741211,109.3499984741211,173372000
2023-08-03,108.94999694824219,114.95999908447266,108.94999694824219,113.1500015258789,113.1500015258789,90605400
2023-08-04,114.4800033569336,118.8499984741211,113.95999908447266,115.81999969482422,115.81999969482422,83083100
2023-08-07,116.36000061035156,119.08000183105469,115.48999786376953,116.80999755859375,116.80999755859375,65854800
2023-08-08,114.94000244140625,115.45999908447266,111.41000366210938,113.2300033569336,113.2300033569336,54141800
2023-08-09,112.88999938964844,113.1500015258789,108.77999877929688,110.47000122070312,110.47000122070312,56257100
2023-08-10,111.30000305175781,113.88999938964844,109.47000122070312,110.2300033569336,110.2300033569336,57297800
2023-08-11,108.8499984741211,109.06999969482422,106.4800033569336,107.56999969482422,107.56999969482422,55618700
2023-08-14,106.75,111.98999786376953,105.41999816894531,111.9800033569336,111.9800033569336,57421800
2023-08-15,111.98999786376953,113.18000030517578,110.16999816894531,111.3499984741211,111.3499984741211,53816600
2023-08-16,110.08999633789062,110.44000244140625,106.9800033569336,107.19000244140625,107.19000244140625,54327300
2023-08-17,107.62000274658203,107.8499984741211,104.0999984741211,104.44000244140625,104.44000244140625,59064300
2023-08-18,102.4000015258789,106.06999969482422,101.68000030517578,105.44999694824219,105.44999694824219,59884300
2023-08-21,106.19999694824219,108.54000091552734,105.66999816894531,108.22000122070312,108.22000122070312,49319200
2023-08-22,109.4000015258789,109.72000122070312,104.8499984741211,105.66000366210938,105.66000366210938,47335100
2023-08-23,105.6500015258789,110.08000183105469,105.0,109.43000030517578,109.43000030517578,54656300
2023-08-24,111.05999755859375,111.63999938964844,100.87000274658203,101.80000305175781,101.80000305175781,108997000
